date,CH4
2025-08-24,1871.7540283203125
2025-08-25,1871.7540283203125
2025-08-26,1871.7540283203125
2025-08-27,1871.7540283203125
2025-08-28,1871.7540283203125
2025-08-29,1871.7540283203125
2025-08-30,1871.9924781436011
2025-08-31,1872.2309279668898
2025-09-01,1872.4693777901784
2025-09-02,1872.7078276134673
2025-09-03,1872.946277436756
2025-09-04,1873.1847272600446
2025-09-05,1873.4231770833333
2025-09-06,1873.661626906622
2025-09-07,1873.9000767299108
2025-09-08,1874.1385265531994
2025-09-09,1874.376976376488
2025-09-10,1874.6154261997767
2025-09-11,1874.8538760230654
2025-09-12,1875.092325846354
2025-09-13,1875.3307756696427
2025-09-14,1875.5692254929315
2025-09-15,1875.8076753162202
2025-09-16,1876.0461251395088
2025-09-17,1876.2845749627975
2025-09-18,1876.5230247860861
2025-09-19,1876.761474609375
2025-09-20,1876.9999244326636
2025-09-21,1877.2383742559523
2025-09-22,1877.476824079241
2025-09-23,1877.7152739025296
2025-09-24,1877.9537237258182
2025-09-25,1878.1921735491069
2025-09-26,1878.4306233723958
2025-09-27,1878.6690731956844
2025-09-28,1878.907523018973
2025-09-29,1879.1459728422617
2025-09-30,1879.3844226655503
2025-10-01,1879.6228724888392
2025-10-02,1879.8613223121279
2025-10-03,1880.0997721354165
2025-10-04,1880.3382219587052
2025-10-05,1880.5766717819938
2025-10-06,1880.8151216052825
2025-10-07,1881.053571428571
2025-10-08,1881.29202125186
2025-10-09,1881.5304710751486
2025-10-10,1881.7689208984373
2025-10-11,1881.8744037334734
2025-10-12,1881.9798865685093
2025-10-13,1882.0853694035454
2025-10-14,1882.1908522385816
2025-10-15,1882.2963350736175
2025-10-16,1882.4018179086536
2025-10-17,1882.5073007436897
2025-10-18,1882.6127835787258
2025-10-19,1882.7182664137617
2025-10-20,1882.8237492487979
2025-10-21,1882.929232083834
2025-10-22,1883.03471491887
2025-10-23,1883.140197753906
2025-10-24,1883.2456805889422
2025-10-25,1883.351163423978
2025-10-26,1883.4566462590142
2025-10-27,1883.5621290940503
2025-10-28,1883.6676119290862
2025-10-29,1883.7730947641223
2025-10-30,1883.8785775991585
2025-10-31,1883.9840604341946
2025-11-01,1884.0895432692305
2025-11-02,1884.1950261042666
2025-11-03,1884.3005089393027
2025-11-04,1884.4059917743386
2025-11-05,1884.5114746093748
2025-11-06,1884.616957444411
2025-11-07,1884.7224402794468
2025-11-08,1884.827923114483
2025-11-09,1884.933405949519
2025-11-10,1885.038888784555
2025-11-11,1885.144371619591
2025-11-12,1885.2498544546272
2025-11-13,1885.3553372896633
2025-11-14,1885.4608201246992
2025-11-15,1885.5663029597354
2025-11-16,1885.6717857947715
2025-11-17,1885.7772686298074
2025-11-18,1885.8827514648435
2025-11-19,1885.9882342998797
2025-11-20,1886.0937171349156
2025-11-21,1886.1991999699517
2025-11-22,1886.3046828049878
2025-11-23,1886.4101656400237
2025-11-24,1886.5156484750598
2025-11-25,1886.621131310096
2025-11-26,1886.726614145132
2025-11-27,1886.832096980168
2025-11-28,1886.9375798152041
2025-11-29,1887.0430626502402
2025-11-30,1887.1485454852761
2025-12-01,1887.2540283203123
2025-12-02,1887.3595111553484
2025-12-03,1887.4649939903843
2025-12-04,1887.5704768254204
2025-12-05,1887.6759596604566
2025-12-06,1887.7814424954925
2025-12-07,1887.8869253305286
2025-12-08,1887.9924081655647
2025-12-09,1888.0978910006008
2025-12-10,1888.2033738356367
2025-12-11,1888.3088566706729
2025-12-12,1888.414339505709
2025-12-13,1888.519822340745
2025-12-14,1888.625305175781
2025-12-15,1888.7307880108172
2025-12-16,1888.836270845853
2025-12-17,1888.9417536808892
2025-12-18,1889.0472365159253
2025-12-19,1889.1527193509612
2025-12-20,1889.2582021859973
2025-12-21,1889.3636850210335
2025-12-22,1889.4691678560696
2025-12-23,1889.5746506911055
2025-12-24,1889.6801335261416
2025-12-25,1889.7856163611777
2025-12-26,1889.8910991962136
2025-12-27,1889.9965820312498
2025-12-28,1890.102064866286
2025-12-29,1890.2075477013218
2025-12-30,1890.313030536358
2025-12-31,1890.418513371394
2026-01-01,1890.52399620643
2026-01-02,1890.629479041466
2026-01-03,1890.7349618765022
2026-01-04,1890.8404447115383
2026-01-05,1890.9459275465742
2026-01-06,1891.0514103816104
2026-01-07,1891.1568932166465
2026-01-08,1891.2623760516824
2026-01-09,1891.3678588867185
2026-01-10,1891.4733417217547
