date,CH4,CO,NO2,SO2
2025-08-24,,0.0312507012858986,8.063610584940761e-05,0.0002714305883273
2025-08-25,,0.0346005223691463,0.0001343039766652,0.0005862038233317
2025-08-26,,,6.8755864049308e-05,0.0013800200540572
2025-08-27,,0.0287107666954398,5.595044058281928e-05,9.396505993208848e-05
2025-08-28,,0.0289902500808239,8.00684774731053e-05,-8.03884795459453e-05
2025-08-29,1871.7540283203125,0.0224999506026506,8.519348557456397e-05,0.000466496698209
2025-08-30,,0.0267550079151988,4.770733357872814e-05,0.0001477563164371
2025-08-31,,0.0294164642691612,3.362177176313708e-05,-0.0005712934944313
2025-09-01,,0.0248291082680225,4.905708192382008e-05,-0.0003547481319401
2025-09-02,,0.0237908940762281,,
2025-09-03,,0.024791301228106,3.388567711226642e-05,0.0001157562728621
2025-09-04,,0.02448570728302,2.825142018991756e-05,0.0003544440260156
2025-09-05,,0.0327544845640659,5.458094528876245e-05,0.0001847462699515
2025-09-06,,0.0293669663369655,,
2025-09-07,,,,
2025-09-08,,,,
2025-09-09,,0.0253326641395688,,-2.7730700821848583e-05
2025-09-10,,0.0238858759403228,3.0494629754684865e-05,2.167784987250343e-05
2025-09-11,,,2.900252366089262e-05,0.0005460459506139
2025-09-12,,0.0291993841528892,3.674525578389876e-05,0.0002328329283045
2025-09-13,,0.028933129273355,5.573301859840285e-05,-5.713580685551278e-05
2025-09-14,,0.0173613671213388,3.636437213572208e-05,8.849166442814749e-05
2025-09-15,,,5.070043152954895e-05,-0.0001154926576418
2025-09-16,,0.0289627611637115,2.873210542020388e-05,-7.144935671021813e-05
2025-09-17,,,,
2025-09-18,,0.0265345685184001,4.704713501268998e-05,-5.646849240292795e-05
2025-09-19,,0.0250565484166145,,
2025-09-20,,0.0260543450713157,3.774905417230912e-05,
2025-09-21,,0.0290251951664686,4.806115975952707e-05,1.952418824657797e-05
2025-09-22,,,6.147780004539527e-05,0.0004542746610241
2025-09-23,,0.0323427189141511,6.376956480380613e-05,0.0003169341071043
2025-09-24,,0.0416420474648475,0.0002889214083552,0.0001856671951827
2025-09-25,,0.026938964612782,4.276883555576205e-05,-0.0001383910275762
2025-09-26,,,2.272281381010544e-05,-0.0001445161578885
2025-09-27,,0.0344845112413167,2.964478153444361e-05,0.0005934085347689
2025-09-28,,0.0339418202638626,-2.345399934711168e-06,-6.643059168709442e-05
2025-09-29,,0.0287176994606852,2.01944731088588e-05,-0.0002645677741384
2025-09-30,,,,
2025-10-01,,,,
2025-10-02,,,2.9670683943550102e-05,-0.0001853978319559
2025-10-03,,0.0351356752216815,3.1379855499835685e-05,-0.000225117924856
2025-10-04,,0.0315378308296203,6.535049760714173e-05,-0.0001697827683528
2025-10-05,,0.0319096948951482,3.028174432984088e-05,-8.109231202979572e-05
2025-10-06,,0.0341575145721435,3.57160161001957e-05,-8.66418777150102e-05
2025-10-07,,,8.372458250960335e-05,0.000253807840636
2025-10-08,,0.0391120836138725,6.610119635297451e-05,0.0001654163061175
2025-10-09,,0.0452368482947349,0.0001445007001166,9.272317754493996e-05
2025-10-10,1881.7689208984373,0.0361420530825853,8.621282904641703e-05,0.0001952350221472
2025-10-11,,0.0328002478927373,3.691385791171342e-05,5.669017537002219e-05
2025-10-12,,,4.354730117483996e-05,-0.0002100943820551
2025-10-13,,,,
2025-10-14,,0.0288797691464424,2.745382971625077e-05,0.0001114107726607
2025-10-15,,0.0249101743102073,2.408474938420113e-05,3.134119469905272e-05
2025-10-16,,0.0299189528450369,4.158880619797856e-05,2.5063977773243096e-05
2025-10-17,,0.0299520352855324,4.284968235879205e-05,-3.151290002278984e-05
2025-10-18,,,2.8430362362996675e-05,-0.0004864226939389
2025-10-19,,0.0311715137213468,3.1368810596177354e-05,-0.0001738631399348
2025-10-20,,,,
2025-10-21,,,,
2025-10-22,,,,
2025-10-23,,,,0.0002674715942703
2025-10-24,,,,
2025-10-25,,0.0323414988815784,,
2025-10-26,,0.0304763074964284,,-3.787710375036113e-05
2025-10-27,,,,
2025-10-28,,,2.299657535331789e-05,-0.0005152319063199
2025-10-29,,,,
2025-10-30,,,,
2025-10-31,,,,
2025-11-01,,,,
2025-11-02,,,,
2025-11-03,,,,
2025-11-04,,,,-0.0001400454202666
2025-11-05,,0.0266169942915439,5.463728302856907e-05,0.0002548404463595
2025-11-06,,,,
2025-11-07,,0.0283196959644556,1.7203752577188425e-05,0.0003171853895764
2025-11-08,,,,
2025-11-09,,,,
2025-11-10,,0.0320663936436176,,
2025-11-11,,0.0273030549287796,,
2025-11-12,,,,
2025-11-13,,,,
2025-11-14,,,,
2025-11-15,,,,
2025-11-16,,,,
2025-11-17,,,,
2025-11-18,,,,0.0002252848353236
2025-11-19,,,,0.0005775167956016
2025-11-20,,0.0305499471724033,3.086027027165983e-05,7.359649862337392e-05
2025-11-21,,,2.832624340953771e-05,8.266291115432978e-05
2025-11-22,,,,
2025-11-23,,,2.994190617755521e-05,
2025-11-24,,,,
2025-11-25,,0.027670968323946,2.5741816898516845e-05,
2025-11-26,,,3.311500768177211e-05,
2025-11-27,,,,
2025-11-28,,,,
2025-11-29,,,,
2025-11-30,,,,
2025-12-01,,,5.47873460163828e-05,
2025-12-02,,0.0298393666744232,3.603175355237909e-05,
2025-12-03,,0.0249180924147367,2.806424345180858e-05,-5.075097760709468e-06
2025-12-04,,,,
2025-12-05,,,1.5952673265928752e-05,-2.8883441700600088e-05
2025-12-06,,,,-0.0002761316427495
2025-12-07,,0.0265148449689149,3.0015836273378227e-05,-4.562141839414835e-05
2025-12-08,,0.0277734315022826,2.9234326575533487e-05,0.0002776817600533
2025-12-09,,,,
2025-12-10,,,3.3466571039753035e-05,0.0001473318843636
2025-12-11,,,1.9912382413167503e-05,0.0001089241559384
2025-12-12,,,2.3187407350633293e-05,4.831236310565146e-05
2025-12-13,,,1.921354305522982e-05,0.0001385094547003
2025-12-14,,0.0267466502264142,,
